,text,Mapping,word_count,unique_wordcount,mean_word_length,tweet_length,url_count,hashtags,mention_count,stopwords,punctuation_count,text_Adjectives,Processed_Text
0,#Deppression is real. Partners w/ #depressed people truly dont understand the depth in which they affect us. Add in #anxiety &amp;makes it worse,3,23,22,5.3,144,0,1,0,7,8,real w/ depressed dont,deppression is real partners w depressed people truly dont understand the depth in which they affect us add in anxiety ampmakes it worse
1,"@user Interesting choice of words... Are you confirming that governments fund #terrorism? Bit of an open door, but still...",0,19,18,5.53,123,0,1,1,7,10,open, interesting choice of words are you confirming that governments fund terrorism bit of an open door but still
2,My visit to hospital for care triggered #trauma from accident 20+yrs ago and image of my dead brother in it. Feeling symptoms of #depression,3,24,23,4.88,140,0,1,0,9,4,dead,my visit to hospital for care triggered trauma from accident yrs ago and image of my dead brother in it feeling symptoms of depression
3,@user Welcome to #MPSVT! We are delighted to have you! #grateful #MPSVT #relationships,1,13,12,5.69,86,0,1,1,5,7,grateful, welcome to mpsvt we are delighted to have you grateful mpsvt relationships
4,What makes you feel #joyful?,1,5,5,4.8,28,0,1,0,2,2,,what makes you feel joyful
5,i am revolting.,0,3,3,4.33,15,0,0,0,2,1,,i am revolting
6,"Rin might ever appeared gloomy but to be a melodramatic person was not her thing.\n\nBut honestly, she missed her old friend. The special one.",3,24,23,4.96,142,0,0,0,11,4,melodramatic old special,rin might ever appeared gloomy but to be a melodramatic person was not her thingnnbut honestly she missed her old friend the special one
7,In need of a change! #restless,3,6,6,4.17,30,0,1,0,3,2,,in need of a change restless
8,@user @user #cmbyn does screen  August 4 &amp; 6 at #miff,3,11,10,4.18,57,0,1,1,2,6,,  cmbyn does screen  august  amp  at miff
9,@user Get Donovan out of your soccer booth. He's awful. He's bitter. He makes me want to mute the tv. #horrid,0,21,20,4.24,109,0,1,1,10,8,awful bitter horrid, get donovan out of your soccer booth hes awful hes bitter he makes me want to mute the tv horrid
10,@user how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues. Optimize ur shit soon.,0,25,22,3.84,120,0,0,1,8,3,many ur many mad ur, how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues optimize ur shit soon
11,Pressured. 😦,3,2,2,5.5,12,0,0,0,0,1,,pressured 😦
12,Yes #depression &amp; #anxiety are real but so is bein #grateful &amp; #happiness \nI choose how i wanna live MY life not some disorder,3,24,23,4.67,135,0,1,0,9,8,real bein grateful i live,yes depression amp anxiety are real but so is bein grateful amp happiness ni choose how i wanna live my life not some disorder
13,"People who say nmu are the worst, something has to be going on, tell me I wanna know bout your life that's why I fucking asked, I care 😤",0,29,27,3.72,136,0,0,0,13,4,😤,people who say nmu are the worst something has to be going on tell me i wanna know bout your life thats why i fucking asked i care 😤
14,"@user The hatred from the Left ought to concern everyone----who wants a police state-the left, so than can spy on all of us.",0,23,23,4.43,124,0,0,1,12,8,, the hatred from the left ought to concern everyonewho wants a police statethe left so than can spy on all of us
15,@user #shocking loss of talented young man#prayers#pray for his family,3,10,10,6.1,70,0,1,1,3,4,talented young, shocking loss of talented young manprayerspray for his family
16,Its #amazing watching various news outlets showing mixed crowds of ppl watching #Eclipse with NO #racial tension.. #MSM can't hide this!,1,21,20,5.52,136,0,1,0,5,8,various mixed racial,its amazing watching various news outlets showing mixed crowds of ppl watching eclipse with no racial tension msm cant hide this
17,"That moment when people say you don't need medicine, it's mind over matter. You need to stop doing that. #bipolar",0,20,19,4.7,113,0,1,0,9,6,bipolar,that moment when people say you dont need medicine its mind over matter you need to stop doing that bipolar
18,@user @user Please. Don't insult Goths.,0,6,5,5.67,39,0,0,1,1,5,,  please dont insult goths
19,@user What an F'ing liar,0,5,5,4.0,24,0,0,1,2,2,, what an fing liar
20,May or may not have just pulled the legal card on these folks. #irritated,0,14,14,4.29,73,0,1,0,7,2,legal irritated,may or may not have just pulled the legal card on these folks irritated
21,"Me: 'I miss your personality,will it come back?' Him: 'I'm sorry.I'm me. You be you.' #Sad #depressed #longdistancerelationship",3,18,18,6.11,127,0,1,0,4,16,sorry.I,me i miss your personalitywill it come back him im sorryim me you be you sad depressed longdistancerelationship
22,Comparing yourself to others is one of the root causes for feelings of unhappiness and depression.,3,16,15,5.19,98,0,0,0,8,1,,comparing yourself to others is one of the root causes for feelings of unhappiness and depression
23,"@user @user Americans do not spank their children, and they are a God fearing people who knows the biggest sin is hypocrisy.",2,22,21,4.68,124,0,0,1,10,4,,  americans do not spank their children and they are a god fearing people who knows the biggest sin is hypocrisy
24,The only upside to being deathly ill this week is that I've gotten better at taking pills. #optimism,2,18,18,4.61,100,0,1,0,9,3,only,the only upside to being deathly ill this week is that ive gotten better at taking pills optimism
25,Favorite character who's name starts with the letter M?\n #Prisonbreak5  #The100 #GreysAnatomy,1,12,12,6.83,94,0,1,0,3,5,\n,favorite character whos name starts with the letter mn prisonbreak  the greysanatomy
26,I'm so nervous I could puke + my body temp is rising ha ha ha ha ha,1,17,13,3.0,67,0,0,0,6,2,nervous,im so nervous i could puke  my body temp is rising ha ha ha ha ha
27,I cannot see a rational way of bearing a grudge to him for that. I do not. Maybe because I do not live by Netflix and I do not care...,0,30,23,3.5,134,0,0,0,19,5,rational,i cannot see a rational way of bearing a grudge to him for that i do not maybe because i do not live by netflix and i do not care
28,And let the depression take the stage once more 🙃,3,10,9,4.0,49,0,0,0,5,0,🙃,and let the depression take the stage once more 🙃
29,I love swimming for the same reason I love meditating...the feeling of weightlessness.,1,13,11,5.69,86,0,0,0,6,4,same,i love swimming for the same reason i love meditatingthe feeling of weightlessness
30,@user Is it just me that thinks it looks boring?,3,10,9,3.9,48,0,0,1,6,2,@ boring, is it just me that thinks it looks boring
31,",, The solar eclipse was really cool.. #inspiring!",1,8,8,5.38,50,0,1,0,2,6,solar cool.., the solar eclipse was really cool inspiring
32,@user Really??? I've had to hang up!,0,7,7,4.29,36,0,0,1,3,6,, really ive had to hang up
33,When Jim Sheridan is standing next to you and you don't say A WORD!!! #facepalm #tonguetied,0,16,15,4.75,91,0,1,0,8,6,next facepalm,when jim sheridan is standing next to you and you dont say a word facepalm tonguetied
34,"@user -- can handle myself.\n[Carl yelled back in fury, blood smeared across his face and clothes. Still holding onto his --",0,21,19,4.95,124,0,0,1,5,9,myself.\n,  can handle myselfncarl yelled back in fury blood smeared across his face and clothes still holding onto his 
35,@user @user there was a fair bit of raging folk last night... something to do with pension day?,0,18,17,4.33,95,0,0,1,7,6,fair last,  there was a fair bit of raging folk last night something to do with pension day
36,"@user No #racism, no #hatred , no #sectarianism  ... Only yes to love",2,13,12,4.31,69,0,1,1,5,9,, no racism no hatred  no sectarianism   only yes to love
37,sleep is and will always be one of the best remedies for a tired and weary soul,2,17,16,3.71,79,0,0,0,8,0,tired weary,sleep is and will always be one of the best remedies for a tired and weary soul
38,"@user where is my order? Placed on Monday via express delivery, yet no sign!!! #annoyed #hurryup Your customer service queues are #awful",0,22,22,5.23,136,0,1,1,7,9,annoyed awful, where is my order placed on monday via express delivery yet no sign annoyed hurryup your customer service queues are awful
39,yukwon no video do zico the world is shaking,3,9,9,4.0,44,0,0,0,4,0,,yukwon no video do zico the world is shaking
40,"BUT, I have offended so many people with the idea that conflicts and value judgments are separate that we need to have a talk.",2,24,22,4.29,126,0,0,0,13,2,many separate,but i have offended so many people with the idea that conflicts and value judgments are separate that we need to have a talk
41,@user - spelled exactly how it makes you feel 'better eat land line'. Talking to my mom this week has been impossible. #goodservice #rage,0,24,24,4.75,137,0,1,1,8,8,eat impossible goodservice,  spelled exactly how it makes you feel better eat land line talking to my mom this week has been impossible goodservice rage
